Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Year,Month
CA-2025-880722,2025-05-02,2025-05-07,First Class,CUST-63871,Consumer,United States,Minnesota City,Minnesota,Central,PROD-TEC-7881,Technology,Machines,Binding Machine,684.91,2,0.0,229.91,2025,May
CA-2025-906395,2025-09-10,2025-09-17,Standard Class,CUST-71886,Corporate,United States,New York City,New York,East,PROD-OFF-5892,Office Supplies,Paper,Premium A4 Copy Paper,10.48,1,0.3,-0.77,2025,September
CA-2023-682531,2023-07-24,2023-07-27,Standard Class,CUST-65123,Consumer,United States,Colorado City,Colorado,West,PROD-OFF-8350,Office Supplies,Paper,Cardstock Paper,46.78,3,0.0,13.03,2023,July
CA-2023-230560,2023-04-03,2023-04-10,Second Class,CUST-51240,Home Office,United States,Michigan City,Michigan,Central,PROD-FUR-6585,Furniture,Chairs,Office Ergonomic Chair,458.87,2,0.0,18.87,2023,April
CA-2026-688579,2026-01-06,2026-01-10,Standard Class,CUST-26907,Consumer,United States,California City,California,West,PROD-FUR-7493,Furniture,Bookcases,5-Shelf Bookcase,162.09,1,0.0,3.69,2026,January
CA-2024-358930,2024-12-19,2024-12-23,First Class,CUST-89104,Consumer,United States,Minnesota City,Minnesota,Central,PROD-FUR-3125,Furniture,Furnishings,LED Desk Lamp,92.55,3,0.15,-13.05,2024,December
CA-2025-870173,2025-03-16,2025-03-20,Standard Class,CUST-15126,Corporate,United States,Michigan City,Michigan,Central,PROD-FUR-9905,Furniture,Chairs,Stacking Chair,550.7,3,0.2,-109.3,2025,March
CA-2023-291076,2023-01-25,2023-01-30,Second Class,CUST-57915,Consumer,United States,New Jersey City,New Jersey,East,PROD-OFF-8943,Office Supplies,Art,Sketchbook,58.55,3,0.0,13.55,2023,January
CA-2023-886237,2023-11-11,2023-11-18,Second Class,CUST-72981,Home Office,United States,North Carolina City,North Carolina,South,PROD-FUR-2733,Furniture,Tables,Conference Table,1070.16,2,0.0,190.16,2023,November
CA-2025-899666,2025-01-28,2025-01-30,Standard Class,CUST-86125,Consumer,United States,Texas City,Texas,Central,PROD-OFF-9195,Office Supplies,Binders,Presentation Binder,4.79,1,0.4,-1.21,2025,January
CA-2023-964909,2023-06-22,2023-06-27,Standard Class,CUST-63441,Corporate,United States,North Carolina City,North Carolina,South,PROD-OFF-1224,Office Supplies,Appliances,Space Heater,624.87,5,0.0,174.87,2023,June
CA-2025-108512,2025-04-24,2025-04-28,Standard Class,CUST-52533,Corporate,United States,Indiana City,Indiana,Central,PROD-OFF-7038,Office Supplies,Binders,3-Ring Binder,24.89,3,0.0,6.89,2025,April
CA-2025-820801,2025-06-29,2025-07-03,Standard Class,CUST-11342,Corporate,United States,New York City,New York,East,PROD-OFF-1235,Office Supplies,Paper,Premium A4 Copy Paper,34.59,3,0.3,0.84,2025,June
CA-2025-114060,2025-05-22,2025-05-27,Second Class,CUST-94555,Consumer,United States,New Jersey City,New Jersey,East,PROD-TEC-3898,Technology,Phones,Smartphone X,1554.83,4,0.0,514.83,2025,May
CA-2024-953938,2024-02-26,2024-03-01,Standard Class,CUST-92985,Consumer,United States,Georgia City,Georgia,South,PROD-OFF-5033,Office Supplies,Paper,Premium A4 Copy Paper,32.28,3,0.3,-1.47,2024,February
CA-2024-950916,2024-07-07,2024-07-10,Second Class,CUST-51157,Home Office,United States,Michigan City,Michigan,Central,PROD-OFF-1922,Office Supplies,Art,Whiteboard Markers,96.23,5,0.0,21.23,2024,July
CA-2024-402775,2024-08-20,2024-08-25,Standard Class,CUST-42154,Corporate,United States,Arizona City,Arizona,West,PROD-TEC-7028,Technology,Accessories,Wireless Mouse,59.23,1,0.2,7.23,2024,August
CA-2025-114153,2025-04-23,2025-04-28,Standard Class,CUST-30103,Consumer,United States,Indiana City,Indiana,Central,PROD-OFF-1793,Office Supplies,Art,Acrylic Paint Set,37.45,2,0.0,7.45,2025,April
CA-2023-311951,2023-10-29,2023-11-03,First Class,CUST-86325,Consumer,United States,Illinois City,Illinois,Central,PROD-FUR-8790,Furniture,Tables,Conference Table,2301.11,5,0.0,101.11,2023,October
CA-2025-232717,2025-10-05,2025-10-09,Second Class,CUST-74644,Home Office,United States,North Carolina City,North Carolina,South,PROD-OFF-4368,Office Supplies,Storage,File Cabinet,442.87,8,0.0,82.87,2025,October
CA-2024-950163,2024-07-20,2024-07-23,Second Class,CUST-57523,Consumer,United States,New York City,New York,East,PROD-OFF-9393,Office Supplies,Storage,Plastic Storage Bin,348.01,6,0.0,78.01,2024,July
CA-2026-318967,2026-05-18,2026-05-22,First Class,CUST-59688,Home Office,United States,Washington City,Washington,West,PROD-OFF-2205,Office Supplies,Appliances,Space Heater,118.05,1,0.0,28.05,2026,May
CA-2024-306524,2024-10-23,2024-10-26,Standard Class,CUST-56240,Consumer,United States,Michigan City,Michigan,Central,PROD-OFF-4432,Office Supplies,Paper,Color Paper Pack,13.76,1,0.0,2.51,2024,October
CA-2025-526752,2025-09-16,2025-09-21,Standard Class,CUST-72823,Corporate,United States,Ohio City,Ohio,East,PROD-TEC-5524,Technology,Machines,3D Printer,569.79,2,0.2,114.79,2025,September
CA-2024-962061,2024-05-16,2024-05-20,Standard Class,CUST-74077,Corporate,United States,Washington City,Washington,West,PROD-OFF-4335,Office Supplies,Art,Colored Pencils,95.52,7,0.3,-9.48,2024,May
CA-2026-779520,2026-04-16,2026-04-22,Standard Class,CUST-62603,Home Office,United States,Indiana City,Indiana,Central,PROD-OFF-9519,Office Supplies,Appliances,Space Heater,95.44,1,0.15,5.44,2026,April
CA-2023-510543,2023-04-06,2023-04-13,Second Class,CUST-95595,Consumer,United States,Oregon City,Oregon,West,PROD-TEC-6619,Technology,Machines,Binding Machine,1342.08,4,0.0,432.08,2023,April
CA-2023-727433,2023-05-31,2023-06-06,Standard Class,CUST-57057,Consumer,United States,Texas City,Texas,Central,PROD-TEC-5177,Technology,Phones,VoIP Desk Phone,2169.13,7,0.2,349.13,2023,May
CA-2023-356713,2023-09-18,2023-09-22,Second Class,CUST-25358,Consumer,United States,Indiana City,Indiana,Central,PROD-OFF-6986,Office Supplies,Storage,Desktop Drawer,425.96,9,0.15,20.96,2023,September
CA-2026-338009,2026-02-12,2026-02-16,Second Class,CUST-58285,Consumer,United States,California City,California,West,PROD-OFF-8368,Office Supplies,Paper,Cardstock Paper,13.16,1,0.2,1.91,2026,February
CA-2025-140809,2025-04-17,2025-04-24,Standard Class,CUST-86908,Corporate,United States,Massachusetts City,Massachusetts,East,PROD-OFF-6796,Office Supplies,Binders,3-Ring Binder,24.1,4,0.2,0.1,2025,April
CA-2023-579361,2023-06-17,2023-06-20,Second Class,CUST-26725,Consumer,United States,Massachusetts City,Massachusetts,East,PROD-OFF-3969,Office Supplies,Binders,3-Ring Binder,20.08,3,0.15,2.08,2023,June
CA-2025-516366,2025-03-04,2025-03-06,First Class,CUST-48709,Corporate,United States,Minnesota City,Minnesota,Central,PROD-OFF-9378,Office Supplies,Art,Colored Pencils,39.81,2,0.0,9.81,2025,March
CA-2025-901480,2025-01-20,2025-01-23,Standard Class,CUST-78247,Home Office,United States,New York City,New York,East,PROD-FUR-7122,Furniture,Tables,Coffee Table,783.12,2,0.15,-96.88,2025,January
CA-2025-675762,2025-07-27,2025-07-31,Standard Class,CUST-45111,Corporate,United States,Ohio City,Ohio,East,PROD-FUR-5203,Furniture,Tables,Conference Table,2036.09,4,0.0,276.09,2025,July
CA-2023-286833,2023-01-12,2023-01-16,First Class,CUST-79626,Home Office,United States,Pennsylvania City,Pennsylvania,East,PROD-TEC-2750,Technology,Phones,Smartphone X,1973.01,5,0.1,673.01,2023,January
CA-2024-764180,2024-05-03,2024-05-10,Standard Class,CUST-72552,Corporate,United States,Illinois City,Illinois,Central,PROD-TEC-6913,Technology,Copiers,Color Laser Printer,1713.83,3,0.3,-41.17,2024,May
CA-2025-938807,2025-04-06,2025-04-13,Standard Class,CUST-34070,Consumer,United States,North Carolina City,North Carolina,South,PROD-TEC-5497,Technology,Copiers,Compact Scanner,2502.98,3,0.1,747.98,2025,April
CA-2025-354444,2025-03-15,2025-03-19,Standard Class,CUST-45435,Consumer,United States,Oregon City,Oregon,West,PROD-OFF-6468,Office Supplies,Paper,Color Paper Pack,51.21,4,0.15,6.21,2025,March
CA-2026-806544,2026-04-08,2026-04-15,Standard Class,CUST-89273,Home Office,United States,Oregon City,Oregon,West,PROD-FUR-4810,Furniture,Tables,Dining Table,455.27,1,0.0,15.27,2026,April
CA-2023-209996,2023-09-29,2023-10-05,Same Day,CUST-71916,Consumer,United States,Florida City,Florida,South,PROD-TEC-4430,Technology,Phones,Bluetooth Headset,918.68,3,0.15,138.68,2023,September
CA-2023-601946,2023-05-26,2023-05-29,Standard Class,CUST-43933,Consumer,United States,Arizona City,Arizona,West,PROD-FUR-3632,Furniture,Tables,Coffee Table,462.44,1,0.0,22.44,2023,May
CA-2024-531413,2024-12-10,2024-12-17,First Class,CUST-53001,Corporate,United States,Massachusetts City,Massachusetts,East,PROD-OFF-8878,Office Supplies,Storage,File Cabinet,653.13,10,0.0,203.13,2024,December
CA-2026-933032,2026-02-04,2026-02-07,Standard Class,CUST-51844,Home Office,United States,Washington City,Washington,West,PROD-FUR-4845,Furniture,Bookcases,Modular Shelving Unit,916.85,6,0.1,-33.55,2026,February
CA-2024-134701,2024-02-23,2024-02-28,Second Class,CUST-86898,Corporate,United States,Ohio City,Ohio,East,PROD-FUR-5876,Furniture,Furnishings,LED Desk Lamp,81.49,2,0.0,11.09,2024,February
CA-2024-777114,2024-09-26,2024-09-29,First Class,CUST-93300,Consumer,United States,Massachusetts City,Massachusetts,East,PROD-TEC-1954,Technology,Machines,3D Printer,630.71,2,0.0,175.71,2024,September
CA-2025-261633,2025-08-30,2025-09-05,Same Day,CUST-13972,Consumer,United States,Colorado City,Colorado,West,PROD-FUR-1317,Furniture,Chairs,Stacking Chair,581.74,3,0.2,-78.26,2025,August
CA-2023-620547,2023-08-04,2023-08-09,Second Class,CUST-81719,Corporate,United States,New York City,New York,East,PROD-TEC-2704,Technology,Copiers,Label Printer,1954.83,2,0.0,784.83,2023,August
CA-2024-226209,2024-07-10,2024-07-16,Standard Class,CUST-96206,Corporate,United States,Tennessee City,Tennessee,South,PROD-TEC-7506,Technology,Accessories,Webcam 1080p,100.83,2,0.3,-3.17,2024,July
CA-2026-278589,2026-06-01,2026-06-03,Standard Class,CUST-58845,Corporate,United States,North Carolina City,North Carolina,South,PROD-OFF-5543,Office Supplies,Binders,Presentation Binder,18.8,3,0.15,0.8,2026,June
CA-2024-426032,2024-07-25,2024-07-28,Second Class,CUST-39257,Consumer,United States,Arizona City,Arizona,West,PROD-TEC-2265,Technology,Machines,Binding Machine,3320.72,9,0.0,1273.22,2024,July
CA-2026-748074,2026-02-17,2026-02-19,First Class,CUST-83609,Consumer,United States,Washington City,Washington,West,PROD-TEC-9954,Technology,Phones,VoIP Desk Phone,307.67,1,0.15,47.67,2026,February
CA-2024-438076,2024-04-03,2024-04-08,Standard Class,CUST-54064,Consumer,United States,Michigan City,Michigan,Central,PROD-FUR-8266,Furniture,Chairs,Stacking Chair,794.22,3,0.0,134.22,2024,April
CA-2025-673189,2025-11-11,2025-11-14,First Class,CUST-27482,Consumer,United States,Arizona City,Arizona,West,PROD-TEC-1988,Technology,Machines,Binding Machine,3237.27,9,0.0,1189.77,2025,November
CA-2024-185530,2024-07-23,2024-07-29,Standard Class,CUST-73416,Consumer,United States,Texas City,Texas,Central,PROD-FUR-9984,Furniture,Furnishings,Desk Organizer,198.86,5,0.0,22.86,2024,July
CA-2024-770611,2024-06-03,2024-06-08,First Class,CUST-31563,Consumer,United States,Ohio City,Ohio,East,PROD-TEC-1959,Technology,Copiers,Color Laser Printer,1377.81,2,0.3,207.81,2024,June
CA-2026-709996,2026-06-13,2026-06-16,Standard Class,CUST-10526,Consumer,United States,California City,California,West,PROD-FUR-6109,Furniture,Furnishings,LED Desk Lamp,78.93,2,0.0,8.53,2026,June
CA-2024-536624,2024-08-29,2024-09-03,Second Class,CUST-70112,Consumer,United States,Washington City,Washington,West,PROD-TEC-4496,Technology,Machines,3D Printer,322.35,1,0.0,94.85,2024,August
CA-2024-733025,2024-11-03,2024-11-07,Standard Class,CUST-49499,Home Office,United States,Virginia City,Virginia,South,PROD-OFF-2949,Office Supplies,Binders,3-Ring Binder,7.84,1,0.0,1.84,2024,November
CA-2023-749438,2023-05-23,2023-05-26,Standard Class,CUST-91061,Corporate,United States,Washington City,Washington,West,PROD-FUR-7082,Furniture,Bookcases,5-Shelf Bookcase,1289.38,7,0.0,180.58,2023,May
CA-2026-252360,2026-01-12,2026-01-16,First Class,CUST-36015,Consumer,United States,North Carolina City,North Carolina,South,PROD-FUR-1899,Furniture,Furnishings,Wall Clock,101.61,3,0.15,-3.99,2026,January
CA-2023-170326,2023-03-28,2023-04-02,Standard Class,CUST-46877,Consumer,United States,Arizona City,Arizona,West,PROD-OFF-9941,Office Supplies,Appliances,Air Purifier,253.91,2,0.0,73.91,2023,March
CA-2024-591872,2024-10-23,2024-10-27,Standard Class,CUST-99899,Corporate,United States,Oregon City,Oregon,West,PROD-OFF-9946,Office Supplies,Art,Whiteboard Markers,72.49,4,0.0,12.49,2024,October
CA-2025-696387,2025-08-14,2025-08-20,Second Class,CUST-40027,Consumer,United States,Pennsylvania City,Pennsylvania,East,PROD-TEC-1955,Technology,Accessories,Webcam 1080p,65.01,1,0.2,13.01,2025,August
CA-2024-971310,2024-07-31,2024-08-04,Second Class,CUST-35849,Corporate,United States,Virginia City,Virginia,South,PROD-OFF-5732,Office Supplies,Appliances,Air Purifier,221.68,2,0.1,41.68,2024,July
CA-2025-825495,2025-01-21,2025-01-26,Second Class,CUST-67056,Consumer,United States,Virginia City,Virginia,South,PROD-OFF-5648,Office Supplies,Binders,Pocket Folder,12.66,2,0.2,0.66,2025,January
CA-2025-335806,2025-06-09,2025-06-13,Standard Class,CUST-45046,Consumer,United States,California City,California,West,PROD-TEC-6543,Technology,Phones,Bluetooth Headset,1136.89,3,0.0,356.89,2025,June
CA-2025-398090,2025-04-23,2025-04-29,Standard Class,CUST-62233,Consumer,United States,Washington City,Washington,West,PROD-FUR-7656,Furniture,Bookcases,Modular Shelving Unit,351.31,2,0.0,34.51,2025,April
CA-2023-846788,2023-11-01,2023-11-07,First Class,CUST-65204,Consumer,United States,Tennessee City,Tennessee,South,PROD-OFF-1956,Office Supplies,Art,Sketchbook,11.1,1,0.4,-3.9,2023,November
CA-2023-296733,2023-07-17,2023-07-20,Standard Class,CUST-10281,Consumer,United States,Michigan City,Michigan,Central,PROD-FUR-5585,Furniture,Bookcases,Metal Storage Bookcase,373.39,2,0.0,56.59,2023,July
CA-2026-747296,2026-04-16,2026-04-20,Standard Class,CUST-55272,Corporate,United States,Massachusetts City,Massachusetts,East,PROD-FUR-2969,Furniture,Tables,Conference Table,984.58,2,0.1,104.58,2026,April
CA-2026-273895,2026-05-01,2026-05-07,First Class,CUST-33196,Consumer,United States,Pennsylvania City,Pennsylvania,East,PROD-OFF-8705,Office Supplies,Binders,Heavy Duty Binder,50.74,7,0.0,8.74,2026,May
CA-2026-629992,2026-03-16,2026-03-23,First Class,CUST-47208,Corporate,United States,New York City,New York,East,PROD-OFF-9125,Office Supplies,Paper,Recycled Paper,32.75,4,0.4,-12.25,2026,March
CA-2024-435441,2024-08-07,2024-08-09,Standard Class,CUST-70576,Consumer,United States,Tennessee City,Tennessee,South,PROD-FUR-4173,Furniture,Tables,Conference Table,955.41,2,0.1,75.41,2024,August
CA-2024-458690,2024-12-25,2024-12-29,Standard Class,CUST-35426,Home Office,United States,New York City,New York,East,PROD-OFF-3875,Office Supplies,Storage,Cardboard Storage Box,181.64,3,0.0,46.64,2024,December
CA-2025-887609,2025-08-25,2025-08-30,Second Class,CUST-32443,Consumer,United States,Michigan City,Michigan,Central,PROD-OFF-7471,Office Supplies,Appliances,Compact Refrigerator,325.85,3,0.0,55.85,2025,August
CA-2025-159182,2025-09-01,2025-09-05,Second Class,CUST-14760,Consumer,United States,Colorado City,Colorado,West,PROD-TEC-7570,Technology,Accessories,Wireless Mouse,72.12,1,0.0,20.12,2025,September
CA-2023-798012,2023-02-20,2023-02-22,First Class,CUST-97163,Home Office,United States,Georgia City,Georgia,South,PROD-OFF-7012,Office Supplies,Binders,Heavy Duty Binder,33.09,4,0.0,9.09,2023,February
CA-2024-163646,2024-10-31,2024-11-05,Standard Class,CUST-82430,Corporate,United States,North Carolina City,North Carolina,South,PROD-OFF-4530,Office Supplies,Paper,Recycled Paper,12.72,1,0.2,1.47,2024,October
CA-2024-296501,2024-03-20,2024-03-23,Same Day,CUST-13654,Consumer,United States,Pennsylvania City,Pennsylvania,East,PROD-OFF-6495,Office Supplies,Paper,Color Paper Pack,40.52,3,0.0,6.77,2024,March
CA-2025-734929,2025-11-15,2025-11-18,Second Class,CUST-33669,Corporate,United States,Florida City,Florida,South,PROD-OFF-7295,Office Supplies,Storage,File Cabinet,126.73,2,0.0,36.73,2025,November
CA-2025-963663,2025-05-06,2025-05-08,Second Class,CUST-65826,Home Office,United States,Illinois City,Illinois,Central,PROD-OFF-1482,Office Supplies,Binders,3-Ring Binder,56.4,7,0.0,14.4,2025,May
CA-2024-394054,2024-10-11,2024-10-14,Second Class,CUST-78388,Corporate,United States,Georgia City,Georgia,South,PROD-FUR-2343,Furniture,Chairs,Executive Leather Chair,220.69,1,0.1,0.69,2024,October
CA-2026-168008,2026-05-26,2026-05-30,First Class,CUST-65754,Home Office,United States,Georgia City,Georgia,South,PROD-TEC-8843,Technology,Machines,Binding Machine,330.87,1,0.0,103.37,2026,May
CA-2024-351051,2024-03-03,2024-03-06,Standard Class,CUST-82240,Home Office,United States,Tennessee City,Tennessee,South,PROD-TEC-8979,Technology,Accessories,USB-C Hub,165.42,2,0.0,61.42,2024,March
